Campus Nacional,61,2023-05-23,07:55:41
Suramericana,2,2023-05-23,07:56:32
Suramericana,1,2023-05-23,07:56:52
Campus Nacional,62,2023-05-23,07:56:52
Campus Nacional,63,2023-05-23,07:57:21
Colombia,2,2023-05-23,07:57:31
Campus Nacional,64,2023-05-23,07:57:41
Colombia,1,2023-05-23,07:57:51
Campus Nacional,65,2023-05-23,07:58:21
Campus Nacional,66,2023-05-23,07:58:41
Campus Nacional,65,2023-05-23,07:58:51
Suramericana,0,2023-05-23,07:59:02
Campus Nacional,66,2023-05-23,07:59:42
Campus Nacional,67,2023-05-23,07:59:52
Campus Nacional,68,2023-05-23,08:00:01
Campus Nacional,69,2023-05-23,08:00:11
Campus Nacional,70,2023-05-23,08:00:21
Campus Nacional,71,2023-05-23,08:00:31
Suramericana,1,2023-05-23,08:00:41
Campus Nacional,72,2023-05-23,08:00:41
Campus Nacional,73,2023-05-23,08:00:51
Campus Nacional,74,2023-05-23,08:01:01
Suramericana,0,2023-05-23,08:01:11
Suramericana,1,2023-05-23,08:01:21
Campus Nacional,73,2023-05-23,08:01:21
Suramericana,0,2023-05-23,08:01:51
Campus Nacional,74,2023-05-23,08:01:51
Campus Nacional,75,2023-05-23,08:02:02
Campus Nacional,76,2023-05-23,08:02:22
Campus Nacional,77,2023-05-23,08:02:42
Campus Nacional,76,2023-05-23,08:03:11
Campus Nacional,77,2023-05-23,08:03:21
Campus Nacional,78,2023-05-23,08:04:01
Campus Nacional,79,2023-05-23,08:04:11
Campus Nacional,80,2023-05-23,08:04:21
Campus Nacional,81,2023-05-23,08:04:31
Campus Nacional,82,2023-05-23,08:04:41
Campus Nacional,83,2023-05-23,08:05:41
Campus Nacional,84,2023-05-23,08:06:01
Campus Nacional,85,2023-05-23,08:06:11
Campus Nacional,84,2023-05-23,08:09:11
Suramericana,1,2023-05-23,08:10:01
Suramericana,0,2023-05-23,08:10:31
Campus Nacional,85,2023-05-23,08:11:01
Campus Nacional,86,2023-05-23,08:11:11
Campus Nacional,85,2023-05-23,08:11:31
Campus Nacional,86,2023-05-23,08:11:41
Suramericana,1,2023-05-23,08:12:11
Campus Nacional,87,2023-05-23,08:12:21
Carlos E. Restrepo,0,2023-05-23,08:13:11
Campus Nacional,86,2023-05-23,08:13:11
Suramericana,0,2023-05-23,08:13:31
Campus Nacional,87,2023-05-23,08:13:31
Colombia,2,2023-05-23,08:14:41
Colombia,3,2023-05-23,08:14:51
Campus Nacional,86,2023-05-23,08:15:01
Colombia,2,2023-05-23,08:15:11
Campus Nacional,87,2023-05-23,08:15:21
Colombia,1,2023-05-23,08:16:11
Campus Nacional,86,2023-05-23,08:16:51
Campus Nacional,85,2023-05-23,08:17:11
Campus Nacional,86,2023-05-23,08:18:51
Campus Nacional,87,2023-05-23,08:19:01
Campus Nacional,88,2023-05-23,08:19:51
Campus Nacional,89,2023-05-23,08:20:12
Campus Nacional,90,2023-05-23,08:20:32
Suramericana,1,2023-05-23,08:21:41
Campus Nacional,91,2023-05-23,08:21:41
Campus Nacional,92,2023-05-23,08:22:01
Suramericana,0,2023-05-23,08:22:11
Campus Nacional,91,2023-05-23,08:25:11
Suramericana,1,2023-05-23,08:26:41
Campus Nacional,92,2023-05-23,08:26:51
Suramericana,0,2023-05-23,08:27:01
Campus Nacional,93,2023-05-23,08:27:51
Colombia,0,2023-05-23,08:30:01
Carlos E. Restrepo,1,2023-05-23,08:30:01
Carlos E. Restrepo,0,2023-05-23,08:32:31
Campus Nacional,92,2023-05-23,08:32:51
Carlos E. Restrepo,1,2023-05-23,08:33:51
Campus Nacional,91,2023-05-23,08:33:51
Campus Nacional,92,2023-05-23,08:36:11
Campus Nacional,91,2023-05-23,08:38:01
Campus Nacional,92,2023-05-23,08:41:31
Suramericana,2,2023-05-23,08:41:51
Suramericana,1,2023-05-23,08:42:11
Campus Nacional,93,2023-05-23,08:43:01
Suramericana,0,2023-05-23,08:43:11
Suramericana,2,2023-05-23,08:44:01
Suramericana,1,2023-05-23,08:44:21
Suramericana,0,2023-05-23,08:44:51
Campus Nacional,94,2023-05-23,08:45:21
Suramericana,6,2023-05-23,08:46:01
Campus Nacional,93,2023-05-23,08:48:21
Suramericana,7,2023-05-23,08:49:32
Suramericana,6,2023-05-23,08:50:11
Suramericana,7,2023-05-23,08:50:31
Campus Nacional,94,2023-05-23,08:51:51
Carlos E. Restrepo,2,2023-05-23,08:53:02
Suramericana,8,2023-05-23,08:53:22
Campus Nacional,95,2023-05-23,08:53:42
Campus Nacional,96,2023-05-23,08:54:51
Campus Nacional,97,2023-05-23,08:55:01
Campus Nacional,96,2023-05-23,08:55:21
Suramericana,7,2023-05-23,08:55:41
Campus Nacional,95,2023-05-23,08:56:22
Suramericana,8,2023-05-23,08:56:42
Carlos E. Restrepo,1,2023-05-23,08:56:52
Suramericana,9,2023-05-23,08:57:31
Campus Nacional,94,2023-05-23,08:58:41
Suramericana,8,2023-05-23,08:59:02
Carlos E. Restrepo,2,2023-05-23,08:59:12
Campus Nacional,95,2023-05-23,08:59:32
Suramericana,7,2023-05-23,09:01:31
Carlos E. Restrepo,1,2023-05-23,09:01:41
Campus Nacional,96,2023-05-23,09:01:41
Campus Nacional,97,2023-05-23,09:02:02
Carlos E. Restrepo,2,2023-05-23,09:03:31
Campus Nacional,98,2023-05-23,09:05:22
Campus Nacional,99,2023-05-23,09:05:42
Campus Nacional,100,2023-05-23,09:06:01
Suramericana,8,2023-05-23,09:06:31
Campus Nacional,98,2023-05-23,09:06:41
Campus Nacional,68,2023-05-23,09:06:51
Campus Nacional,69,2023-05-23,09:08:02
Suramericana,7,2023-05-23,09:08:22
Campus Nacional,68,2023-05-23,09:08:42
Suramericana,6,2023-05-23,09:08:52
Campus Nacional,69,2023-05-23,09:09:51
Campus Nacional,70,2023-05-23,09:10:11
Suramericana,5,2023-05-23,09:12:11
Colombia,1,2023-05-23,09:13:21
Campus Nacional,71,2023-05-23,09:14:12
Suramericana,4,2023-05-23,09:14:22
Suramericana,3,2023-05-23,09:14:32
Suramericana,2,2023-05-23,09:15:11
Colombia,2,2023-05-23,09:15:11
Colombia,3,2023-05-23,09:15:31
Suramericana,1,2023-05-23,09:16:11
Colombia,2,2023-05-23,09:16:31
Suramericana,0,2023-05-23,09:16:51
Campus Nacional,72,2023-05-23,09:17:42
Colombia,1,2023-05-23,09:18:01
Suramericana,1,2023-05-23,09:18:11
Suramericana,0,2023-05-23,09:18:31
Campus Nacional,73,2023-05-23,09:19:41
Campus Nacional,74,2023-05-23,09:20:32
Carlos E. Restrepo,1,2023-05-23,09:20:52
Campus Nacional,75,2023-05-23,09:22:21
Campus Nacional,76,2023-05-23,09:23:02
Campus Nacional,77,2023-05-23,09:23:32
Campus Nacional,78,2023-05-23,09:23:52
Campus Nacional,79,2023-05-23,09:25:51
Carlos E. Restrepo,2,2023-05-23,09:26:42
Campus Nacional,78,2023-05-23,09:26:52
Campus Nacional,79,2023-05-23,09:27:41
Campus Nacional,80,2023-05-23,09:27:51
Campus Nacional,81,2023-05-23,09:28:01
Colombia,0,2023-05-23,09:28:11
Campus Nacional,80,2023-05-23,09:29:51
Carlos E. Restrepo,1,2023-05-23,09:31:21
Carlos E. Restrepo,0,2023-05-23,09:31:51
Campus Nacional,81,2023-05-23,09:31:51
Carlos E. Restrepo,1,2023-05-23,09:32:02
Campus Nacional,80,2023-05-23,09:33:01
Suramericana,1,2023-05-23,09:33:21
Campus Nacional,81,2023-05-23,09:33:21
Campus Nacional,82,2023-05-23,09:33:31
Suramericana,0,2023-05-23,09:33:41
Campus Nacional,83,2023-05-23,09:33:51
Suramericana,1,2023-05-23,09:34:11
Campus Nacional,82,2023-05-23,09:34:11
Suramericana,0,2023-05-23,09:34:31
Campus Nacional,80,2023-05-23,09:36:41
Carlos E. Restrepo,0,2023-05-23,09:40:21
Carlos E. Restrepo,1,2023-05-23,09:40:51
Suramericana,1,2023-05-23,09:41:32
Suramericana,0,2023-05-23,09:41:42
Campus Nacional,81,2023-05-23,09:41:42
Campus Nacional,82,2023-05-23,09:41:52
Suramericana,14,2023-05-23,09:42:41
Campus Nacional,83,2023-05-23,09:42:51
Campus Nacional,70,2023-05-23,09:43:31
Suramericana,13,2023-05-23,09:44:01
Suramericana,12,2023-05-23,09:44:21
Suramericana,11,2023-05-23,09:45:11
Carlos E. Restrepo,0,2023-05-23,09:45:21
Suramericana,10,2023-05-23,09:45:31
Carlos E. Restrepo,1,2023-05-23,09:45:51
Suramericana,9,2023-05-23,09:46:21
Suramericana,8,2023-05-23,09:46:31
Suramericana,7,2023-05-23,09:46:51
Campus Nacional,71,2023-05-23,09:47:12
Suramericana,8,2023-05-23,09:48:01
Campus Nacional,72,2023-05-23,09:48:21
Suramericana,7,2023-05-23,09:49:11
Campus Nacional,73,2023-05-23,09:49:31
Suramericana,6,2023-05-23,09:49:51
Carlos E. Restrepo,2,2023-05-23,09:51:21
Suramericana,7,2023-05-23,09:51:31
Suramericana,8,2023-05-23,09:52:11
Suramericana,7,2023-05-23,09:52:31
Colombia,1,2023-05-23,09:52:31
Colombia,0,2023-05-23,09:52:41
Campus Nacional,74,2023-05-23,09:53:02
Campus Nacional,75,2023-05-23,09:53:32
Campus Nacional,76,2023-05-23,09:53:52
Campus Nacional,77,2023-05-23,09:54:01
Campus Nacional,78,2023-05-23,09:54:11
Campus Nacional,77,2023-05-23,09:54:51
Suramericana,6,2023-05-23,09:55:11
Campus Nacional,78,2023-05-23,09:55:31
Suramericana,5,2023-05-23,09:55:41
Campus Nacional,79,2023-05-23,09:56:02
Campus Nacional,80,2023-05-23,09:56:22
Carlos E. Restrepo,3,2023-05-23,09:56:42
Suramericana,4,2023-05-23,09:57:01
Suramericana,3,2023-05-23,09:57:21
Colombia,1,2023-05-23,09:57:31
Campus Nacional,81,2023-05-23,09:57:51
Campus Nacional,82,2023-05-23,09:58:11
Campus Nacional,83,2023-05-23,09:58:21
Suramericana,2,2023-05-23,09:58:51
Campus Nacional,82,2023-05-23,09:58:51
Suramericana,1,2023-05-23,09:59:42
Campus Nacional,83,2023-05-23,09:59:42
Suramericana,0,2023-05-23,10:00:01
Campus Nacional,82,2023-05-23,10:00:11
Colombia,2,2023-05-23,10:00:21
Campus Nacional,83,2023-05-23,10:00:31
Campus Nacional,84,2023-05-23,10:01:01
Campus Nacional,85,2023-05-23,10:01:21
Campus Nacional,86,2023-05-23,10:01:41
Campus Nacional,87,2023-05-23,10:01:51
Colombia,3,2023-05-23,10:02:42
Campus Nacional,86,2023-05-23,10:02:52
Campus Nacional,87,2023-05-23,10:03:11
Carlos E. Restrepo,4,2023-05-23,10:04:11
Colombia,2,2023-05-23,10:04:31
Campus Nacional,86,2023-05-23,10:05:02
Colombia,1,2023-05-23,10:05:22
Campus Nacional,85,2023-05-23,10:06:21
Campus Nacional,86,2023-05-23,10:06:31
Campus Nacional,85,2023-05-23,10:06:51
Campus Nacional,86,2023-05-23,10:07:01
Campus Nacional,85,2023-05-23,10:07:21
Campus Nacional,86,2023-05-23,10:08:01
Campus Nacional,87,2023-05-23,10:08:11
Campus Nacional,88,2023-05-23,10:08:21
Colombia,0,2023-05-23,10:08:31
Campus Nacional,87,2023-05-23,10:08:51
Campus Nacional,88,2023-05-23,10:09:11
Suramericana,1,2023-05-23,10:09:31
Suramericana,0,2023-05-23,10:09:51
Campus Nacional,87,2023-05-23,10:10:51
Campus Nacional,88,2023-05-23,10:11:31
Campus Nacional,87,2023-05-23,10:12:11
Colombia,1,2023-05-23,10:12:21
